,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
86,Afghanistan,05/04/2020,270,35,5,1,6.936,0.899,0.128,0.026,,,,,,,,78.7,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
87,Afghanistan,06/04/2020,299,29,7,2,7.681,0.745,0.18,0.051,,,,,,,,78.7,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
88,Afghanistan,07/04/2020,337,38,7,0,8.657,0.976,0.18,0,,,,,,,,78.7,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
89,Afghanistan,08/04/2020,367,30,11,4,9.428,0.771,0.283,0.103,,,,,,,,78.7,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
90,Afghanistan,09/04/2020,423,56,14,3,10.866,1.439,0.36,0.077,,,,,,,,78.7,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
91,Afghanistan,10/04/2020,484,61,15,1,12.433,1.567,0.385,0.026,,,,,,,,78.7,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
92,Afghanistan,11/04/2020,521,37,15,0,13.384,0.95,0.385,0,,,,,,,,78.7,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
93,Afghanistan,12/04/2020,555,34,18,3,14.257,0.873,0.462,0.077,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
94,Afghanistan,13/04/2020,607,52,18,0,15.593,1.336,0.462,0,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
95,Afghanistan,14/04/2020,665,58,21,3,17.083,1.49,0.539,0.077,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
96,Afghanistan,15/04/2020,714,49,23,2,18.341,1.259,0.591,0.051,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
97,Afghanistan,16/04/2020,784,70,25,2,20.14,1.798,0.642,0.051,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
98,Afghanistan,17/04/2020,794,10,29,4,20.396,0.257,0.745,0.103,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
99,Afghanistan,18/04/2020,845,51,30,1,21.707,1.31,0.771,0.026,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
100,Afghanistan,19/04/2020,908,63,30,0,23.325,1.618,0.771,0,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
101,Afghanistan,20/04/2020,996,88,33,3,25.585,2.261,0.848,0.077,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
102,Afghanistan,21/04/2020,1031,35,35,2,26.485,0.899,0.899,0.051,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
103,Afghanistan,22/04/2020,1092,61,36,1,28.052,1.567,0.925,0.026,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
104,Afghanistan,23/04/2020,1176,84,40,4,30.209,2.158,1.028,0.103,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
105,Afghanistan,24/04/2020,1281,105,42,2,32.907,2.697,1.079,0.051,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
106,Afghanistan,25/04/2020,1351,70,43,1,34.705,1.798,1.105,0.026,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
107,Afghanistan,26/04/2020,1463,112,47,4,37.582,2.877,1.207,0.103,,,,,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
